Period,Ratio,Group,Keyword,Gender
2020-11-01,51.4234,40,유산균,Male
2020-11-01,19.97288,50,유산균,Male
2020-11-01,9.08269,60,유산균,Male
2020-12-01,1.5751,10,유산균,Male
2020-12-01,37.08604,20,유산균,Male
2020-12-01,71.29946,30,유산균,Male
2020-12-01,54.8512,40,유산균,Male
2020-12-01,20.99283,50,유산균,Male
2020-12-01,10.64489,60,유산균,Male
2021-01-01,1.07804,10,유산균,Male
2021-01-01,34.32315,20,유산균,Male
2021-01-01,72.95203,30,유산균,Male
2021-01-01,61.91336,40,유산균,Male
2021-01-01,24.83377,50,유산균,Male
2021-01-01,13.014,60,유산균,Male
2021-02-01,0.97475,10,유산균,Male
2021-02-01,26.35078,20,유산균,Male
2021-02-01,54.08947,30,유산균,Male
2021-02-01,48.09889,40,유산균,Male
2021-02-01,20.5345,50,유산균,Male
2021-02-01,10.47705,60,유산균,Male
2021-03-01,1.43954,10,유산균,Male
2021-03-01,30.29501,20,유산균,Male
2021-03-01,63.66277,30,유산균,Male
2021-03-01,54.88348,40,유산균,Male
2021-03-01,23.64598,50,유산균,Male
2021-03-01,12.2329,60,유산균,Male
2021-04-01,1.01994,10,유산균,Male
2021-04-01,26.64773,20,유산균,Male
2021-04-01,56.85882,30,유산균,Male
2021-04-01,52.67574,40,유산균,Male
2021-04-01,19.9987,50,유산균,Male
2021-04-01,11.3808,60,유산균,Male
2021-05-01,1.13614,10,유산균,Male
2021-05-01,28.95875,20,유산균,Male
2021-05-01,61.31947,30,유산균,Male
2021-05-01,50.91988,40,유산균,Male
2021-05-01,22.23871,50,유산균,Male
2021-05-01,10.83209,60,유산균,Male
2021-06-01,1.11677,10,유산균,Male
2021-06-01,31.29559,20,유산균,Male
2021-06-01,70.12458,30,유산균,Male
2021-06-01,58.57594,40,유산균,Male
2021-06-01,22.54212,50,유산균,Male
2021-06-01,10.61261,60,유산균,Male
2021-07-01,1.19424,10,유산균,Male
2021-07-01,35.84016,20,유산균,Male
2021-07-01,69.75663,30,유산균,Male
2021-07-01,56.98792,40,유산균,Male
2021-07-01,23.71054,50,유산균,Male
2021-07-01,12.18772,60,유산균,Male
